Variable,Niveau,Libelle,,,
MSSubClass,20,1-STORY 1946 & NEWER ALL STYLES,,,
MSSubClass,30,1-STORY 1945 & OLDER,,,
MSSubClass,40,1-STORY W/FINISHED ATTIC ALL AGES,,,
MSSubClass,45,1-1/2 STORY - UNFINISHED ALL AGES,,,
MSSubClass,50,1-1/2 STORY FINISHED ALL AGES,,,
MSSubClass,60,2-STORY 1946 & NEWER,,,
MSSubClass,70,2-STORY 1945 & OLDER,,,
MSSubClass,75,2-1/2 STORY ALL AGES,,,
MSSubClass,80,SPLIT OR MULTI-LEVEL,,,
MSSubClass,85,SPLIT FOYER,,,
MSSubClass,90,DUPLEX - ALL STYLES AND AGES,,,
MSSubClass,120,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,,,
MSSubClass,150,1-1/2 STORY PUD - ALL AGES,,,
MSSubClass,160,2-STORY PUD - 1946 & NEWER,,,
MSSubClass,180,PUD - MULTILEVEL - INCL SPLIT LEV/FOYER,,,
MSSubClass,190,2 FAMILY CONVERSION - ALL STYLES AND AGES,,,
MSZoning,A,Agriculture,,,
MSZoning,C (all),Commercial,,,
MSZoning,FV,Floating Village Residential,,,
MSZoning,I,Industrial,,,
MSZoning,RH,Residential High Density,,,
MSZoning,RL,Residential Low Density,,,
MSZoning,RP,Residential Low Density Park ,,,
MSZoning,RM,Residential Medium Density,,,
Street,Grvl,Gravel,,,
Street,Pave,Paved,,,
Alley,Grvl,Gravel,,,
Alley,Pave,Paved,,,
Alley,NA,No alley access,,,
LotShape,Reg,Regular,,,
LotShape,IR1,Slightly irregular,,,
LotShape,IR2,Moderately Irregular,,,
LotShape,IR3,Irregular,,,
LandContour,Lvl,Near Flat/Level ,,,
LandContour,Bnk,Banked - Quick and significant rise from street grade to building,,,
LandContour,HLS,Hillside - Significant slope from side to side,,,
LandContour,Low,Depression,,,
Utilities,AllPub,All public Utilities (E,G,W,& S)
Utilities,NoSewr,Electricity, Gas, and Water (Septic Tank),
Utilities,NoSeWa,Electricity and Gas Only,,,
Utilities,ELO,Electricity only,,,
LotConfig,Inside,Inside lot,,,
LotConfig,Corner,Corner lot,,,
LotConfig,CulDSac,Cul-de-sac,,,
LotConfig,FR2,Frontage on 2 sides of property,,,
LotConfig,FR3,Frontage on 3 sides of property,,,
LandSlope,Gtl,Gentle slope,,,
LandSlope,Mod,Moderate  slope,,,
LandSlope,Sev,Severe slope,,,
Neighborhood,Blmngtn,Bloomington Heights,,,
Neighborhood,Blueste,Bluestem,,,
Neighborhood,BrDale,Briardale,,,
Neighborhood,BrkSide,Brookside,,,
Neighborhood,ClearCr,Clear Creek,,,
Neighborhood,CollgCr,College Creek,,,
Neighborhood,Crawfor,Crawford,,,
Neighborhood,Edwards,Edwards,,,
Neighborhood,Gilbert,Gilbert,,,
Neighborhood,Greens,Greens,,,
Neighborhood,GrnHill,Green Hills,,,
Neighborhood,IDOTRR,Iowa DOT and Rail Road,,,
Neighborhood,Landmrk,Landmark,,,
Neighborhood,MeadowV,Meadow Village,,,
Neighborhood,Mitchel,Mitchell,,,
Neighborhood,NAmes ,North Ames,,,
Neighborhood,NoRidge,Northridge,,,
Neighborhood,NPkVill ,Northpark Villa,,,
Neighborhood,NridgHt,Northridge Heights,,,
Neighborhood,NWAmes ,Northwest Ames,,,
Neighborhood,OldTown,Old Town,,,
Neighborhood,SWISU,South & West of Iowa State University,,,
Neighborhood,Sawyer,Sawyer,,,
Neighborhood,SawyerW,Sawyer West,,,
Neighborhood,Somerst,Somerset,,,
Neighborhood,StoneBr,Stone Brook,,,
Neighborhood,Timber,Timberland,,,
Neighborhood,Veenker,Veenker,,,
Condition1,Artery,Adjacent to arterial street,,,
Condition1,Feedr,Adjacent to feeder street,,,
Condition1,Norm,Normal,,,
Condition1,RRNn,Within 200' of North-South Railroad,,,
Condition1,RRAn,Adjacent to North-South Railroad,,,
Condition1,PosN,Near positive off-site feature--park, greenbelt, etc.,
Condition1,PosA,Adjacent to postive off-site feature,,,
Condition1,RRNe,Within 200' of East-West Railroad,,,
Condition1,RRAe,Adjacent to East-West Railroad,,,
Condition2,Artery,Adjacent to arterial street,,,
Condition2,Feedr,Adjacent to feeder street,,,
Condition2,Norm,Normal,,,
Condition2,RRNn,Within 200' of North-South Railroad,,,
Condition2,RRAn,Adjacent to North-South Railroad,,,
Condition2,PosN,Near positive off-site feature--park, greenbelt, etc.,
Condition2,PosA,Adjacent to postive off-site feature,,,
Condition2,RRNe,Within 200' of East-West Railroad,,,
Condition2,RRAe,Adjacent to East-West Railroad,,,
BldgType,1Fam,Single-family Detached,,,
BldgType,2fmCon,Two-family Conversion; originally built as one-family dwelling,,,
BldgType,Duplex,Duplex,,,
BldgType,TwnhsE,Townhouse End Unit,,,
BldgType,Twnhs,Townhouse Inside Unit,,,
HouseStyle,1Story,One story,,,
HouseStyle,1.5Fin,One and one-half story: 2nd level finished,,,
HouseStyle,1.5Unf,One and one-half story: 2nd level unfinished,,,
HouseStyle,2Story,Two story,,,
HouseStyle,2.5Fin,Two and one-half story: 2nd level finished,,,
HouseStyle,2.5Unf,Two and one-half story: 2nd level unfinished,,,
HouseStyle,SFoyer,Split Foyer,,,
HouseStyle,SLvl,Split Level,,,
OverallQual,10,Very Excellent,,,
OverallQual,9,Excellent,,,
OverallQual,8,Very Good,,,
OverallQual,7,Good,,,
OverallQual,6,Above Average,,,
OverallQual,5,Average,,,
OverallQual,4,Below Average,,,
OverallQual,3,Fair,,,
OverallQual,2,Poor,,,
OverallQual,1,Very Poor,,,
OverallCond,10,Very Excellent,,,
OverallCond,9,Excellent,,,
OverallCond,8,Very Good,,,
OverallCond,7,Good,,,
OverallCond,6,Above Average,,,
OverallCond,5,Average,,,
OverallCond,4,Below Average,,,
OverallCond,3,Fair,,,
OverallCond,2,Poor,,,
OverallCond,1,Very Poor,,,
RoofStyle,Flat,Flat,,,
RoofStyle,Gable,Gable,,,
RoofStyle,Gambrel,Gabrel (Barn),,,
RoofStyle,Hip,Hip,,,
RoofStyle,Mansard,Mansard,,,
RoofStyle,Shed,Shed,,,
RoofMatl,ClyTile,Clay or Tile,,,
RoofMatl,CompShg,Standard (Composite) Shingle,,,
RoofMatl,Membran,Membrane,,,
RoofMatl,Metal,Metal,,,
RoofMatl,Roll,Roll,,,
RoofMatl,Tar&Grv,Gravel & Tar,,,
RoofMatl,WdShake,Wood Shakes,,,
RoofMatl,WdShngl,Wood Shingles,,,
Exterior1st,AsbShng,Asbestos Shingles,,,
Exterior1st,AsphShn,Asphalt Shingles,,,
Exterior1st,BrkComm,Brick Common,,,
Exterior1st,BrkFace,Brick Face,,,
Exterior1st,CBlock,Cinder Block,,,
Exterior1st,CemntBd,Cement Board,,,
Exterior1st,HdBoard,Hard Board,,,
Exterior1st,ImStucc,Imitation Stucco,,,
Exterior1st,MetalSd,Metal Siding,,,
Exterior1st,Other,Other,,,
Exterior1st,Plywood,Plywood,,,
Exterior1st,PreCast,PreCast,,,
Exterior1st,Stone,Stone,,,
Exterior1st,Stucco,Stucco,,,
Exterior1st,VinylSd,Vinyl Siding,,,
Exterior1st,Wd Sdng,Wood Siding,,,
Exterior1st,WdShing,Wood Shingles,,,
Exterior2nd,AsbShng,Asbestos Shingles,,,
Exterior2nd,AsphShn,Asphalt Shingles,,,
Exterior2nd,Brk Cmn,Brick Common,,,
Exterior2nd,BrkFace,Brick Face,,,
Exterior2nd,CBlock,Cinder Block,,,
Exterior2nd,CmentBd,Cement Board,,,
Exterior2nd,HdBoard,Hard Board,,,
Exterior2nd,ImStucc,Imitation Stucco,,,
Exterior2nd,MetalSd,Metal Siding,,,
Exterior2nd,Other,Other,,,
Exterior2nd,Plywood,Plywood,,,
Exterior2nd,PreCast,PreCast,,,
Exterior2nd,Stone,Stone,,,
Exterior2nd,Stucco,Stucco,,,
Exterior2nd,VinylSd,Vinyl Siding,,,
Exterior2nd,Wd Sdng,Wood Siding,,,
Exterior2nd,Wd Shng,Wood Shingles,,,
MasVnrType,BrkCmn,Brick Common,,,
MasVnrType,BrkFace,Brick Face,,,
MasVnrType,CBlock,Cinder Block,,,
MasVnrType,None,None,,,
MasVnrType,Stone,Stone,,,
ExterQual,Ex,Excellent,,,
ExterQual,Gd,Good,,,
ExterQual,TA,Average/Typical,,,
ExterQual,Fa,Fair,,,
ExterQual,Po,Poor,,,
ExterCond,Ex,Excellent,,,
ExterCond,Gd,Good,,,
ExterCond,TA,Average/Typical,,,
ExterCond,Fa,Fair,,,
ExterCond,Po,Poor,,,
Foundation,BrkTil,Brick & Tile,,,
Foundation,CBlock,Cinder Block,,,
Foundation,PConc,Poured Contrete,,,
Foundation,Slab,Slab,,,
Foundation,Stone,Stone,,,
Foundation,Wood,Wood,,,
BsmtQual,Ex,Excellent (100+ inches),,,
BsmtQual,Gd,Good (90-99 inches),,,
BsmtQual,TA,Typical (80-89 inches),,,
BsmtQual,Fa,Fair (70-79 inches),,,
BsmtQual,Po,Poor (<70 inches,,,
BsmtQual,NA,No Basement,,,
BsmtCond,Ex,Excellent,,,
BsmtCond,Gd,Good,,,
BsmtCond,TA,Typical - slight dampness allowed,,,
BsmtCond,Fa,Fair - dampness or some cracking or settling,,,
BsmtCond,Po,Poor - Severe cracking, settling, or wetness,
BsmtCond,NA,No Basement,,,
BsmtExposure,Gd,Good Exposure,,,
BsmtExposure,Av,Average Exposure (split levels or foyers typically score average or above),,,
BsmtExposure,Mn,Mimimum Exposure,,,
BsmtExposure,No,No Exposure,,,
BsmtExposure,NA,No Basement,,,
BsmtFinType1,GLQ,Good Living Quarters,,,
BsmtFinType1,ALQ,Average Living Quarters,,,
BsmtFinType1,BLQ,Below Average Living Quarters,,,
BsmtFinType1,Rec,Average Rec Room,,,
BsmtFinType1,LwQ,Low Quality,,,
BsmtFinType1,Unf,Unfinshed,,,
BsmtFinType1,NA,No Basement,,,
BsmtFinType2,GLQ,Good Living Quarters,,,
BsmtFinType2,ALQ,Average Living Quarters,,,
BsmtFinType2,BLQ,Below Average Living Quarters,,,
BsmtFinType2,Rec,Average Rec Room,,,
BsmtFinType2,LwQ,Low Quality,,,
BsmtFinType2,Unf,Unfinshed,,,
BsmtFinType2,NA,No Basement,,,
Heating,Floor,Floor Furnace,,,
Heating,GasA,Gas forced warm air furnace,,,
Heating,GasW,Gas hot water or steam heat,,,
Heating,Grav,Gravity furnace,,,
Heating,OthW,Hot water or steam heat other than gas,,,
Heating,Wall,Wall furnace,,,
HeatingQC,Ex,Excellent,,,
HeatingQC,Gd,Good,,,
HeatingQC,TA,Average/Typical,,,
HeatingQC,Fa,Fair,,,
HeatingQC,Po,Poor,,,
CentralAir,N,No,,,
CentralAir,Y,Yes,,,
Electrical,SBrkr,Standard Circuit Breakers & Romex,,,
Electrical,FuseA,Fuse Box over 60 AMP and all Romex wiring (Average),,,
Electrical,FuseF,60 AMP Fuse Box and mostly Romex wiring (Fair),,,
Electrical,FuseP,60 AMP Fuse Box and mostly knob & tube wiring (poor),,,
Electrical,Mix,Mixed,,,
KitchenQual,Ex,Excellent,,,
KitchenQual,Gd,Good,,,
KitchenQual,TA,Average/Typical,,,
KitchenQual,Fa,Fair,,,
KitchenQual,Po,Poor,,,
Functional,Typ,Typical Functionality,,,
Functional,Min1,Minor Deductions 1,,,
Functional,Min2,Minor Deductions 2,,,
Functional,Mod,Moderate Deductions,,,
Functional,Maj1,Major Deductions 1,,,
Functional,Maj2,Major Deductions 2,,,
Functional,Sev,Severely Damaged,,,
Functional,Sal,Salvage only,,,
FireplaceQu,Ex,Excellent - Exceptional Masonry Fireplace,,,
FireplaceQu,Gd,Good - Masonry Fireplace in main level,,,
FireplaceQu,TA,Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,,,
FireplaceQu,Fa,Fair - Prefabricated Fireplace in basement,,,
FireplaceQu,Po,Poor - Ben Franklin Stove,,,
FireplaceQu,NA,No Fireplace,,,
GarageType,2Types,More than one type of garage,,,
GarageType,Attchd,Attached to home,,,
GarageType,Basment,Basement Garage,,,
GarageType,BuiltIn,Built-In (Garage part of house - typically has room above garage),,,
GarageType,CarPort,Car Port,,,
GarageType,Detchd,Detached from home,,,
GarageType,NA,No Garage,,,
GarageFinish,Fin,Finished,,,
GarageFinish,RFn,Rough Finished,,,
GarageFinish,Unf,Unfinished,,,
GarageFinish,NA,No Garage,,,
GarageQual,Ex,Excellent,,,
GarageQual,Gd,Good,,,
GarageQual,TA,Average/Typical,,,
GarageQual,Fa,Fair,,,
GarageQual,Po,Poor,,,
GarageQual,NA,No Garage,,,
GarageCond,Ex,Excellent,,,
GarageCond,Gd,Good,,,
